title,key,plugin,priority,status
Anon Inner Length,com.puppycrawl.tools.checkstyle.checks.sizes.AnonInnerLengthCheck,checkstyle,MAJOR,ACTIVE
Avoid Array Loops,AvoidArrayLoops,pmd,MAJOR,ACTIVE
Avoid Assert As Identifier,AvoidAssertAsIdentifier,pmd,MAJOR,ACTIVE
Avoid Calling Finalize,AvoidCallingFinalize,pmd,MAJOR,ACTIVE
Avoid Catching NPE,AvoidCatchingNPE,pmd,MAJOR,ACTIVE
Avoid Catching Throwable,AvoidCatchingThrowable,pmd,CRITICAL,ACTIVE
Avoid commented-out lines of code,CommentedOutCodeLine,squid,MAJOR,ACTIVE
Avoid cycle between java packages,CycleBetweenPackages,squid,MAJOR,ACTIVE
Avoid Decimal Literals In Big Decimal Constructor,AvoidDecimalLiteralsInBigDecimalConstructor,pmd,MAJOR,ACTIVE
Avoid Duplicate Literals,AvoidDuplicateLiterals,pmd,MAJOR,ACTIVE
Avoid Enum As Identifier,AvoidEnumAsIdentifier,pmd,MAJOR,ACTIVE
Avoid Instanceof Checks In Catch Clause,AvoidInstanceofChecksInCatchClause,pmd,MINOR,ACTIVE
Avoid Print Stack Trace,AvoidPrintStackTrace,pmd,MAJOR,ACTIVE
Avoid Rethrowing Exception,AvoidRethrowingException,pmd,MAJOR,ACTIVE
Avoid Throwing Null Pointer Exception,AvoidThrowingNullPointerException,pmd,MAJOR,ACTIVE
Avoid Throwing Raw Exception Types,AvoidThrowingRawExceptionTypes,pmd,MAJOR,ACTIVE
Big Integer Instantiation,BigIntegerInstantiation,pmd,MAJOR,ACTIVE
Boolean Expression Complexity,com.puppycrawl.tools.checkstyle.checks.metrics.BooleanExpressionComplexityCheck,checkstyle,MAJOR,ACTIVE
Boolean Instantiation,BooleanInstantiation,pmd,MAJOR,ACTIVE
Broken Null Check,BrokenNullCheck,pmd,CRITICAL,ACTIVE
Class Cast Exception With To Array,ClassCastExceptionWithToArray,pmd,MAJOR,ACTIVE
Clone method must implement Cloneable,CloneMethodMustImplementCloneable,pmd,MAJOR,ACTIVE
Clone Throws Clone Not Supported Exception,CloneThrowsCloneNotSupportedException,pmd,MAJOR,ACTIVE
Close Resource,CloseResource,pmd,MAJOR,ACTIVE
Collapsible If Statements,CollapsibleIfStatements,pmd,MINOR,ACTIVE
Compare Objects With Equals,CompareObjectsWithEquals,pmd,MAJOR,ACTIVE
Constant Name,com.puppycrawl.tools.checkstyle.checks.naming.ConstantNameCheck,checkstyle,MINOR,ACTIVE
Constructor Calls Overridable Method,ConstructorCallsOverridableMethod,pmd,MAJOR,ACTIVE
